SEGMENT,WEEKS_SINCE_CONVERSION,COHORT_SIZE,N_REPEATERS_THROUGH_BUCKET,BRAND_REPEAT_RATE_PCT,BRAND_REPEAT_SALES_USD
NTC,2,2017,291,0.144274,82445.5300000000
NTC,4,2017,435,0.215667,139955.3800000000
NTC,6,2017,535,0.265245,195535.0900000000
NTC,8,2017,597,0.295984,245252.2100000000
NTC,10,2017,637,0.315816,298700.5700000000
NTC,12,2017,685,0.339613,339242.6300000000
Prev. Competitor Only,2,1848,225,0.121753,72635.1400000000
Prev. Competitor Only,4,1848,404,0.218615,135046.9000000000
Prev. Competitor Only,6,1848,507,0.274351,191330.4600000000
Prev. Competitor Only,8,1848,582,0.314935,244854.5200000000
Prev. Competitor Only,10,1848,638,0.345238,281702.6700000000
Prev. Competitor Only,12,1848,687,0.371753,331502.3300000000
Existing Users,2,26313,11263,0.428039,3242728.9700000000
Existing Users,4,26313,16295,0.619276,7002987.2100000000
Existing Users,6,26313,18650,0.708775,10666890.8800000000
Existing Users,8,26313,20032,0.761297,14074869.9900000000
Existing Users,10,26313,20928,0.795348,17410155.9800000000
Existing Users,12,26313,21592,0.820583,20795164.3500000000
